子曰:學而時習之，不亦說乎?	Đức Khổng tử nói: “Học rồi mà tùy thời ôn tập, lại chẳng đẹp lòng sao?
故君子居易以俟命，小人行險以徼幸。	Cho nên người quân tử sống đơn sơ để đợi phận sự Trời trao cho. Kẻ tiểu nhân thi hành những việc nguy hiểm để cầu may.
子曰：“射有似乎君子，失諸正鵠，反求諸其身。”	Đức Khổng nói: “Bắn cung giống như người quân tử: chẳng trúng đích thì quay lại tìm (nguyên nhân) ở ngay mình.”.
詩曰：“妻子好合，如鼓瑟琴；兄弟既翕，和樂且耽；宜爾室家，樂爾妻孥。”	Kinh Thi nói rằng: “Vợ kết hiệp tốt, như gảy sắt cầm. Anh em đã hợp, lại vui hoà lạc. Nên gia thất ngươi, vui vợ con ngươi.”.
子曰：“父母其順矣乎！”	Đức Khổng nói: “Cha mẹ được yên vui vậy thay!”.
子曰：“鬼神之為德，其盛矣乎！	Đức Khổng nói: “Những linh lực siêu nhiên tạo nên sức mạnh thật là sung mãn vậy thay!
視之而弗見，聽之而弗聞，體物而不可遺。	Nhìn mà không thấy, lóng tai mà không nghe; lồng trong vạn vật mà chẳng bỏ sót.
使天下之人，齋明盛服，以承祭祀，洋洋乎如在其上，如在其左右。”	Khiến cho người trong thiên hạ trai giới tinh khiết, mặc y phục trang trọng để dự việc tế tự. Đầy dẫy mênh mang, dường như ở trên ta, như ở bên trái bên phải ta.”.
詩曰：“神之格思，不可度思，矧可射思！”	Kinh Thi nói: “Linh lực siêu nhiên tới đó, không thể lường được, phương chi có thể thờ ơ vậy.”.
夫微之顯，誠之不可揜，如此夫！	Ôi, kín ẩn mà vẫn hiển hiện, thực thể ấy không thể che giấu là như thế!.
子曰：“舜其大孝也與！	Đức Khổng nói: “Vua Thuấn là bậc rất có hiếu vậy!
德為聖人，尊為天子，富有四海之內；宗廟饗之，子孫保之。	Đức hạnh nên thánh nhân, địa vị cao nên thiên tử (vua các chư hầu), giàu có trong bốn biển, hưởng tế nơi tông miếu, con cháu được giữ gìn.
故大德，必得其位，必得其祿，必得其名，必得其壽。	Cho nên có đức lớn ắt được ngôi, ắt được của cải, ắt được tiếng tăm, ắt được sống lâu.
故大德者必受命。	“Cho nên người có đức lớn ắt được nhận chức phận Trời trao cho.”.
子曰：“無憂者，其惟文王乎！	Đức Khổng nói: “Người không lo buồn chỉ duy có Văn Vương thôi.
以王季為父，以武王為子；父作之，子述之。	Có Vương Quí là cha, có Võ Vương là con, cha làm ra, con theo vậy. Võ Vương kế tục đầu mối sự nghiệp của Thái Vương, Vương Quí, Văn Vương.
武王纘大王，王季，文王之緒，壹戎衣而有天下，身不失天下之顯名：尊為天子，富有四海之內；宗廟饗之，子孫保之。	Một lần mặc áo ra trận mà được thiên hạ. Bản thân còn được nổi danh trong thiên hạ. Địa vị cao ở ngôi thiên tử, giàu có trong bốn biển, hưởng tế nơi tông miếu, con cháu được giữ gìn.
武王末受命，周公成文，武之德，追王大王，王季，上祀先公以天子之禮。	Võ vương nhận được phận sự Trời trao cho vào lúc cuối đời. Chu công thành tựu đức hạnh của vua Văn, vua Võ; ông truy phong tước vương cho Thái Vương, Vương Quí, dùng nghi lễ thiên tử để tế các vị ấy (tiên công).
斯禮也，達乎諸侯，大夫及士，人父為大夫，子為士，葬以大夫，祭以士；父為士，子為大夫，葬以士，祭以大夫。	Lễ này suốt tới chư hầu, quan đại phu, quan sĩ và thường dân. Cha làm quan đại phu, con làm quan sĩ thì chôn theo lễ đại phu, tế theo lễ quan sĩ. Cha làm quan sĩ, con làm quan đại phu thì chôn theo lễ quan sĩ, tế theo lễ đại phu. Phép tang giáp năm (từ thường dân) suốt tới đại phu.
期之喪，達乎大夫；三年之喪，達乎天子；父母之喪，無貴賤一也。”	Phép tang ba năm (từ thường dân) suốt tới thiên tử. Phép tang cha mẹ (ba năm) không phân biệt sang hèn đều một luật.”.
子曰：“武王、周公，其達孝矣乎！	Đức Khổng nói: “Võ Vương, Chu Công có đức hiếu thấu đáo vậy thay!
夫孝者，善繼人之志，善述人之事也。	Phàm có hiếu là khéo nối chí cha ông, khéo noi theo sự nghiệp cha ông.
郊社之禮，所以事上帝也；宗廟之禮，所以祀乎其先也。	“Lễ tế trời và lễ tế đất cốt để phụng thờ Thượng đế. Các lễ ở tông miếu cốt để tế tổ tiên của nhà vua.
明乎郊社之禮，禘嘗之義，治國其如示諸掌乎！”	Làm sáng tỏ được lễ giao, lễ xã, sáng tỏ được ý nghĩa lễ đế, lễ thường, thì việc trị nước như nhìn ở bàn tay vậy.”.
哀公問政。	Vua Ai Công hỏi về việc chính trị.
子曰：“文，武之政，布在方策。	Đức Khổng nói: “Việc chính trị của vua Văn, vua Võ được nêu trong sách vở.
其人存，則其政舉；其人亡，則其政息。	Người như thế còn thì nền chính trị như vậy được phát huy. Người như thế mất thì nền chính trị như vậy dứt.
人道敏政，地道敏樹。	Đường lối của người mau mắn giúp cho chính trị; tính chất của đất mau mắn giúp cho cây cối.
夫政也者，蒲盧也。	Này, việc chính trị, như cây lác, cây lau vậy.
故為政在人；取人以身，修身以道，修道以仁。	Cho nên làm chính trị do tại người, chọn người cốt ở mình; sửa mình cốt ở đạo, sửa đạo cốt ở lòng nhân.
仁者，人也，親親為大；義者，宜也，尊賢為大。	Có lòng nhân ấy là người chân chính, thân yêu người thân là đức lớn. Có nghĩa ấy là cư xử thích đáng; trọng người hiền là đức lớn.
親親之殺，尊賢之等，禮所生也。	Thân yêu người thân thì bớt dần (theo gần xa), trọng người hiền thì theo thứ bậc, lễ do đó sinh ra vậy.”.
或生而知之，或學而知之，或困而知之，及其知之，一也。	Hoặc sinh ra đã biết những đường lối ấy, hoặc được học rồi mới biết; hoặc khốn khổ rồi mới biết. Đến khi biết chỉ là một (như nhau).
或安而行之，或利而行之，或勉強而行之，及其成功，一也。”	Hoặc an nhiên mà thi hành những đường lối ấy, hoặc vì lợi mà thi hành, hoặc gắng gượng mà thi hành. Đến khi thành công vẫn là một.”.
子曰：”好學近乎知，力行近乎仁，知恥近乎勇。	Đức Khổng nói: “Yêu thích học hỏi thì gần đức trí. Ra sức thực hành thì gần đức nhân. Biết hổ thẹn thì gần đức dũng.
知斯三者，則知所以修身；知所以修身，則知所以治人；知所以治人，則知所以治天下國家矣。”	Biết ba điều ấy, thì biết cách sửa mình. Biết cách sửa mình, thì biết cách trị người. Biết cách trị người, thì biết cách trị mọi người và nước nhà vậy.
“凡為天下國家有九經：曰修身也，尊賢也，親親也，敬大臣也，體群臣也，子庶民也，來百工也，柔遠人也，懷諸侯也。	Đại khái việc cai trị thiên hạ quốc gia có chín đạo thường; đó là: sửa đổi chính mình, tôn trọng bậc hiền, thân yêu người thân, kính trọng đại thần, thể lòng quần thần, thương dân như con, vỗ về công nhân, hoà nhã người xa, bảo bọc chư hầu. Sửa đổi chính mình thì tạo lập được đạo đức.
修身，則道立；尊賢，則不惑；親親，則諸父昆弟不怨；敬大臣，則不眩；體群臣，則士之報禮重；子庶民，則百姓勸；來百工，則財用足；柔遠人，則四方歸之；懷諸侯，則天下畏之。”	Tôn trọng bậc hiền thì không bị nghi hoặc. Thân yêu người thân thì chú bác anh em không oán trách. Kính trọng đại thần thì không bị mù quáng. Đặt mình vào lòng quần thần mà xét (thể lòng quần thần) thì các sĩ phu hết lòng báo đáp. Thương dân như con thì khuyến khích được dân chúng (trăm họ). Vỗ về công nhân thì của cải đầy đủ. Hoà nhã với người xa thì bốn phương theo về. Bảo bọc các nước chư hầu thì thiên hạ tâm phục. Giữ chay thanh khiết, ăn mặc chỉnh tề, không phải lễ không hành động, cốt để sửa đổi chính mình. Từ bỏ lời gièm pha, nịnh hót, xa lánh nữ sắc, không màng của cải, quí chuộng đức hạnh; cốt để khuyến khích bậc hiền. Cho địa vị cao bổng lộc hậu, chia sẻ nỗi niềm yêu ghét (với họ hàng), cốt để khuyến khích việc thân yêu người thân. Cho đầy đủ quan chức để tùy nghi sử dụng, cốt để khuyến khích đại thần. Hết lòng, tỏ niềm tin, cho bổng lộc hậu, cốt để khuyến khích sĩ phu.
“齊明盛服，非禮不動，所以修身也；去讒遠色，賤貨而貴德，所以勸賢也；尊其位，重其祿，同其好惡，所以勸親親也；官盛任使，所以勸大臣也；忠信重祿，所以勸士也；時使薄斂，所以勸百姓也；日省月試，既稟稱事，所以勸百工也；送往迎來，嘉善而矜不能，所以柔遠人也；繼絕世，舉廢國，治亂持危，朝聘以時，厚往而薄來，所以懷諸侯也。	Sử dụng phải thời, nhẹ trong thuế khóa; cốt để khuyến khích dân chúng. Hằng ngày xem xét, hằng tháng thử nghiệm cho tương xứng với công việc, cốt để khuyến khích các công nhân. Tiễn người đi, đón kẻ đến, khen người lành, thương xót người kém sức, cốt để hoà nhã với người phương xa. Tiếp nối dòng dõi bị đứt, nâng đỡ nước suy sụp, giúp cho khỏi loạn, giữ cho khỏi nghiêng đổ, định thời hạn cho việc dâng lễ vật, của tiễn nhiều mà của dâng ít, cốt để bảo bọc các nước chư hầu.
“誠者，天之道也；誠之者，人之道也。	Chân thành là đạo của Trời, trở nên chân thành là đạo của người.
誠者，不勉而中，不思而得，從容中道，聖人也；誠之者，擇善而固執之者也。”	Có chân thành, không cố gắng mà vẫn trúng, không suy nghĩ mà vẫn được, thong thả thư thái trong đạo Trung; đó là thánh nhân vậy. Để trở nên chân thành, thì phải chọn điều tốt lành mà nắm chắc lấy.
“博學之，審問之，慎思之，明辨之，篤行之。	Học cho rộng, xét hỏi cho kỹ, nghĩ cho cẩn thận, phân tích cho sáng tỏ, làm cho hết lòng.
有弗學，學之弗能弗措也；有弗問，問之弗知弗措也；有弗思，思之弗得弗措也；有弗辨，辨之弗明弗措也；有弗行，行之弗篤弗措也。	Có điều chưa học, học chưa nỗ lực, không chịu bỏ. Có điều chưa hỏi, hỏi mà chưa biết, không chịu bỏ. Có điều chưa nghĩ, nghĩ mà chưa ra, không chịu bỏ. Có điều chưa phân tích, phân tích mà chưa sáng tỏ, không chịu bỏ. Có điều chưa làm, làm mà chưa hết lòng, không chịu bỏ.
人一能之，己百之；人十能之，己千之。	Người nỗ lực một, mình nỗ lực một trăm; người nỗ lực mười, mình nỗ lực một nghìn.
果能此道矣，雖愚必明，雖柔必強。”	Quả như nỗ lực theo đường lối ấy, tuy dốt nát ắt phải sáng tỏ, tuy yếu đuối ắt phải mạnh mẽ.
自誠明，謂之性；自明誠，謂之教。	Do chân thành mà thông sáng gọi là tính. Do thông sáng mà chân thành gọi là giáo.
