第一回宴桃园豪杰三结义斩黄巾英雄首立功 ||| HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công
”邰曰：“吾亦有此心久矣 ||| Chúng ta há cứ chịu ngồi mà đợi chết? Chi bằng ta sang hàng Tào Tháo có hơm không? Cáp nói: - Tôi có bụng ấy đã lâu
于是二人领本部兵马，往曹操寨中投降 ||| Hai người bèn đem quân mã bản bộ sang trại Tào đầu hàng
夏侯惇曰：“张、高二人来降，未知虚实 ||| Hạ Hầu Đôn nói: - Cao, Trương đến hàng, chưa biết thực hư thế nào? Tháo nói: - Ta đối đãi với người thực hậu, dù họ có bụng khác, sau cũng phải thay đổi
”操曰：“吾以恩遇之，虽有异心，亦可变矣 ||| Nói rồi sai mở cửa dinh cho hai người vào
”遂开营门命二人入 ||| Trương Cao cởi áo giáp, vầm ngược giáo, lạy phục xuống đất
二人倒戈卸甲，拜伏于地 ||| Tháo nói: - Nếu Viên Thiệu chịu nghe lời hai ông thì đâu đến nỗi thua
操曰：“若使袁绍肯从二将军之言，不至有败 ||| Nay hai ông lại đây, khác nào Vi Tử bỏ nhà Ân, Hàn Tín về với nhà hán khi xưa
今二将军肯来相投，如微子去殷，韩信归汉也 ||| Tháo phong Trương Cáp làm thiên tướng quân, Đô đình hầu; Cao Lãm làm thiên tướng quân, Đông lai hầu
”遂封张邰为偏将军、都亭侯，高览为偏将军、东莱侯 ||| Hai người mừng lắm
.却说袁绍既去了许攸，又去了张邰、高览，又失了乌巢粮，军心皇皇 ||| Viên Thiệu đã mất Hứa Du, lại mất Trương Cáp, Cao Lãm; lương thảo tích ở Ô Sào cũng bị Tào Tháo đốt cướp mất cả, lòng quân rối loạn
许攸又劝曹操作速进兵；张邰、高览请为先锋；操从之 ||| Hứa Du lại khuyên Tào Tháo tiến binh đánh mau Trương Cáp, Cao Lãm xin đi tiên phong
即令张邰、高览领兵往劫绍寨 ||| Tháo sai Trương Cáp, Cao Lãm đem quân đi cướp trại Thiệu
当夜三更时分，出军三路劫寨 ||| Đêm hôm ấy, quân Tào ba đường đến phá trại Viên Thiệu
混战到明，各自收兵，绍军折其大半 ||| Hai bên đánh nhau đến sáng, quân Thiệu chết mất quá nửa
荀攸献计曰：“今可扬言调拨人马，一路取酸枣，攻邺郡；一路取黎阳，断袁兵归路 ||| dương, đoạn viên binh quy lộ
袁绍闻之，必然惊惶，分兵拒我；我乘其兵动时击之，绍可破也 ||| Tuân Du lại hiến kế: - Nay nên nói phao lên rằng; ta đang đang điều quân, một mặt đi lấy Toan Tảo, đánh Nghiệp Quận; một mặt đi lấy Lê Dương để chặn đường về của Viên Thiệu
”操用其计，使大小三军，四远扬言 ||| Viên Thiệu nghe tin, tất nhiên sợ hãi, chia quân đi chống hai nơi, ta nhân dịp đánh ngay, có thể phá được
绍军闻此信，来寨中报说：“曹操分兵两路：一路取邺郡，一路取黎阳去也 ||| Tháo nghe theo, sai các quân sĩ phao tin như thế
”绍大惊，急遣袁谭分兵五万救邺郡，辛明分兵五万救黎阳，连夜起行 ||| Quân Thiệu được tin, về trại báo: Tào Tháo chia quân hai đường, một đường đánh Nghiệp Quận, một đường đánh Lê Dương, đương đêm đi ngay
曹操探知袁绍兵动，便分大队军马，八路齐出，直冲绍营 ||| Tào Tháo biết Viên Thiệu đanh động binh liền chia quân tám mặt vào phá trại Viên Thiệu, quân Viên nản lòng, bốn mặt tan vỡ
袁军俱无斗志，四散奔走，遂大溃 ||| Viên Thiệu không kịp mặc áo giáp, chỉ khoác được cái áo đơn, quấn khăn lên ngựa, con út là Viên Thượng đi theo
袁绍披甲不迭，单衣幅巾上马；幼子袁尚后随 ||| Trương Liêu, Hứa Chử, Từ Hoảng, Vu Cấm, bốn tướng dẫn quân đuổi
张辽、许褚、徐晃、于禁四员将，引军追赶袁绍 ||| Thiệu vội sang sông, bỏ hết cả sổ sách, xa trượng, vàng bạc
绍急渡河，尽弃图书车仗金帛，止引随行八百余骑而去 ||| Sang qua sông Thiệu chỉ còn có tám trăm quân kỵ mã đi theo
操军追之不及，尽获遗下之物 ||| Quân Tháo đuổi không kịp, nhưng bắt được cả những đồ vật bỏ lại
所杀八万余人，血流盈沟，溺水死者不计其数 ||| Hơn tám vạn người bị giết, máu chảy đầy sông
操获全胜，将所得金宝缎匹，给赏军士 ||| Tháo được to, đem vàng bạc vóc nhiễu bắt được thưởng cho quân sĩ
于图书中检出书信一束，皆许都及军中诸人与绍暗通之书 ||| Trong tập sổ sách Tháo bắt được một bó toàn là thư của những ngưòi ở Hứa Đô và tướng sĩ thông với Viên Thiệu
左右曰：“可逐一点对姓名，收而杀之 ||| Tả hữu nói: - Nên đối chiếu từng tên một, bắt mà giết đi
”操曰：“当绍之强，孤亦不能自保，况他人乎？”遂命尽焚之，更不再问 ||| Tháo nói: - Đang lúc Thiệu mạnh, chính ta cũng chưa chắc đã giữ nổi thân mình, huống hồ người khác
却说袁绍兵败而奔，沮授因被囚禁，急走不脱，为曹军所获，擒见曹操 ||| Quân Viên Thiệu bấy giờ thua chạy tán loạn cả, duy có Thư Thụ bị giam, không chạy được, bị quân Tào bắt được đem nộp Tào tháo
操素与授相识 ||| Tháo vốn trước có quen Thư Thụ
授见操，大呼曰：“授不降也！”操曰：“本初无谋，不用君言，君何尚执迷耶？吾若早得足下，天下不足虑也 ||| Thụ trông thấy Tháo, giơ tay xua đi và kêu to: - Thụ không hàng đâu! Tào Tháo nói: - Bản Sơ vô mưu, không dùng lời ngươi, sao ngươi còn chấp nê thế? Nếu ta được ngươi sớm, việc thiên hạ còn gì đáng lo
”因厚待之，留于军中 ||| Tháo đãi tử tế, lưu ở trong quân
授乃于营中盗马，欲归袁氏 ||| Một đêm, Thụ ăn trộm ngựa, định trốn về với Viên Thiệu
操怒，乃杀之 ||| Tháo giận, sai đem chém đi
授至死神色不变 ||| Thụ đến chết, thần sắc không đổi
操叹曰：“吾误杀忠义之士也！”命厚礼殡殓，为建坟安葬于黄河渡口，题其墓曰：“忠烈沮君之墓 ||| Tháo than rằng: - Ta trót giết lầm người trung nghĩa! Rồi sai làm lễ hậu, chôn ở cửa sông Hoàng Hà, đề vào mộ sáu chữ: "Trung liệt Thư quân chi mộ"
”后人有诗赞曰：“河北多名士，忠贞推沮君：凝眸知阵法，仰面识天文；至死心如铁，临危气似云 ||| Đời sau có thơ than Thư Thục rằng: Hà Bắc nhiều danh sĩ, Trung trinh có Thư quân, Mắt trông hiểu trận pháp, Mặt ngẩng biết thiên văn, Đến chết lòng son sắt, Lâm nguy chí tựa vân, Tào công trọng vì nghĩa, Bia cao dựng trước phần
曹公钦义烈，特与建孤坟 ||| Tào Tháo giết Thư Thụ rồi, hạ lệnh sang đánh Ký Châu
”操下令攻冀州 ||| Thế rõ thực: Thế yếu chỉ vì nhiều mẹo được, Binh cường nhưng bởi ít mưu thua
正是：势弱只因多算胜，兵强却为寡谋亡 ||| Chưa biết quân Tào phen này sang Ký Châu thế nào, xem hồi sau mới rõ
第三十一回曹操仓亭破本初玄德荆州依刘表 ||| HỒI 31 Tào Tháo ở Thương Đình, phá vỡ Bản Sơ; Huyền Đức sang Kinh Châu, nương nhờ Lưu Biểu
却说曹操乘袁绍之败，整顿军马，迤逦追袭 ||| Tào Tháo thừa cơ Viên Thiệu thua, đem quân mã đuổi theo cùng đường
袁绍幅巾单衣，引八百余骑，奔至黎阳北岸，大将蒋义渠出寨迎接 ||| Viên Thiệu đội khăn xéo, mặc áo đơn, dẫn hơn tám trăm quân kỵ mã chạy đến bờ phía bắc sông Lê Dương, đại tướng là Tưởng Nghĩa Cừ ra trại đón rước
绍以前事诉与义渠 ||| Thiệu kể chuyện đầu đuôi với Nghĩa Cừ
义渠乃招谕离散之众，众闻绍在，又皆蚁聚 ||| Nghĩa Cừ thu thập tàn quân lại
军势复振，议还冀州 ||| Quân sĩ nghe tin Viên Thiệu ở đó, theo về đông như kiến, quân thế lại mạnh, mới bàn mưu về Ký Châu
军行之次，夜宿荒山 ||| Khi đem quân đi dọc đường, đêm ngủ trong núi
绍于帐中闻远远有哭声，遂私往听之 ||| Thiệu nằm trong trướng, nghe văng vẳng có tiếng khóc, bèn lẻn ra nghe xem, đều là những tàn quân, họp nhau lại, than khóc những nỗi mất anh, chết em, xa họ hàng, lìa bạn hữu
却是败军相聚，诉说丧兄失弟，弃伴亡亲之苦，各各捶胸大哭，皆曰：“若听田丰之言，我等怎遭此祸！”绍大悔曰：“吾不听田丰之言，兵败将亡；今回去，有何面目见之耶！”次日，上马正行间，逢纪引军来接 ||| Người nào người ấy vỗ bụng than thở: - Nếu chúa công nghe lời Điền Phong, chúng ta đâu đến nỗi này! Thiệu nghe thấy, rất hối hận, nói: - Ta không nghe lời Điền Phong, binh thua tướng mất
绍对逢纪曰：“吾不听田丰之言，致有此败 ||| Nay trở về, còn mặt mũi nào trông thấy hắn nữa
吾今归去，羞见此人 ||| Hôm sau, cưỡi ngựa đang đi, Phùng Kỷ dẫn quân lại đón
”逢纪因谮曰：“丰在狱中闻主公兵败，抚掌大笑曰：果不出吾之料！”袁绍大怒曰：“竖儒怎敢笑我！我必杀之！”遂命使者赍宝剑先往冀州狱中杀田丰 ||| Thiệu bảo Phùng Kỷ: - Ta không nghe lời Điền Phong đến nỗi thua, bây giờ trở về, trông thấy hắn thật xấu hổ
却说田丰在狱中 ||| Điền Phong đang ở trong ngục, một hôm cai ngục lại vào thăm nói: - Tôi xin vào mừng ông
一日，狱吏来见丰曰：“与别驾贺喜！”丰曰：“何喜可贺？”狱吏曰：“袁将军大败而回，君必见重矣 ||| Phong hỏi: - Có việc gì đáng mừng? Cai ngục lại nói: - Viên tướng quân thua to mới về
”丰笑曰：“吾今死矣！”狱吏问曰：“人皆为君喜，君何言死也？”丰曰：“袁将军外宽而内忌，不念忠诚 ||| Phen này ông sẽ được trọng dụng
若胜而喜，犹能赦我；今战败则羞，吾不望生矣 ||| Phong cười nói: - Ta sắp chết thì có! Cai ngục lại hỏi: - Ai cũng mừng cho ông, ông lại bảo ông sắp chết là nghĩa thế nào? Phong nói: - Viên tướng quân trông ngoài mặt thì khoan hòa nhưng trong bụng hay ghen ghét, không nghĩ đến người trung thành; nếu được mà mừng, may ra còn tha ta, nay thua tất hổ thẹn, ta còn mong sống sao được? Cai ngục còn chưa tin, đã thấy sứ giả cầm gươm vào truyền lệnh Viên Thiệu đem Điền Phong ra chém
”狱吏未信 ||| Cai ngục giật mình
忽使者赍剑至，传袁绍命，欲取田丰之首，狱吏方惊 ||| Phong nói: - Ta đã biết thế nào cũng chết mà! Bọn cai ngục ai nấy đều khóc thương
丰曰：“吾固知必死也 ||| Điền Phong nói: - Làm thân đại trượng phu sống trong trời đất không biết kén chúa mà thờ, thật là ngu dốt, ngày nay chịu chết, còn thương tiếc làm chi! Nói rồi tự vẫn ở trong ngục
”狱吏皆流泪 ||| Điền Phong có thơ rằng: Lần trước thua quân mất Thu Thu, Hôm nay trong ngục giết Điền Phong
丰曰：“大丈夫生于天地间，不识其主而事之，是无智也！今日受死，夫何足惜！”乃自刎于狱中 ||| Cột rường Hà Bắc đền long gẫy, Viên Thiệu hòng sao khỏi bại vong!
袁绍回冀州，心烦意乱，不理政事 ||| Viên Thiệu về Ký Châu, ruột gan bối rối, không trông coi được chính sự
其妻刘氏劝立后嗣 ||| Vợ là Lưu thị, khuyên Thiệu lập con nối nghiệp
绍所生三子长子袁谭字显思，出守青州；次子袁熙字显奕，出守幽州；三子袁尚字显甫，是绍后妻刘氏所出，生得形貌俊伟，绍至爱之，因此留在身边 ||| Thiệu có ba con: Con trưởng là Viên Đàm, tự là Hiển Tự, giữ Thanh Châu; con thứ hai là Viên Hy, tự là Hiển Dịch, giữ Ụ Châu; con út là Viên Thượng, tự Hiển Phụ là con của vợ thứ Lưu thị, hình dong tuấn tú, Thiệu rất yêu, nên cho ở luôn bên cạnh mình
自官渡兵败之后，刘氏劝立尚为后嗣，绍乃与审配、逢纪、辛评、郭图四人商议、原来审、逢二人，向辅袁尚；辛、郭二人，向辅袁谭；四人各为其主 ||| Từ khi thua trận ở Quan Độ, Lưu thị khuyên Thiệu lập Viên Thượng lên nối nghiệp
当下袁绍谓四人曰：“今外患未息，内事不可不早定，吾将议立后嗣：长子谭，为人性刚好杀；次子熙，为人柔懦难成；三子尚，有英雄之表，礼贤敬士，吾欲立之 ||| Thiệu đem việc ấy bàn với bốn người là Thẩm Phối, Phùng Kỷ, Tân Bình, Quách Đồ
公等之意若何？”郭图曰：“三子之中，谭为长，今又居外；主公若废长立幼，此乱萌也 ||| Thẩm, Phùng, hai người vốn theo Viên Thượng; Tân, Quách, hai người vốn theo Viên Đàm
今军威稍挫，敌兵压境，岂可复使父子兄弟自相争乱耶？主公且理会拒敌之策，立嗣之事，毋容多议 ||| Bốn người ai cũng có bụng vì chủ cả
”袁绍踌躇未决 ||| Thiệu nói: - Nay lo ở ngoài chưa yên, việc trong nhà nên phải sớm liệu
忽报袁熙引兵六万，自幽州来；袁谭引兵五万，自青州来；外甥高干亦引兵五万，自并州来：各至冀州助战 ||| Ta muốn lập kế tự: Con trưởng là Đàm thì tính hung bạo hay giết người; con thứ là Hy thì nhu nhược, khó làm nên được; duy có con thứ ba là Thượng có dáng anh hùng, lại biết trọng người hiền, quý kẻ sĩ, ta muốn lập Thượng, các ông nghĩ thế nào? Quách Đồ nói: - Trong bọn công tử, Đàm là trưởng lại ở ngoài, chúa công nếu bỏ trưởng lập thứ, đó là gây cái mầm biến loạn
绍喜，再整人马来战曹操 ||| Hiện nay, quân uy vừa nhụt, quân giặc lại đến áp ngoài bờ cõi, há lại để trong nhà cha con anh em có việc tranh lẫn với nhau hay sao? Xin chúa công hãy lo kế đánh giặc, còn việc lập tự về sau bàn cũng được
时操引得胜之兵，陈列于河上，有土人箪食壶浆以迎之 ||| Viên Thiệu còn trù trừ chưa định, chợt có tin báo Viên Hy dẫn sáu vạn quân tự U Châu đến; Viên Đàm dẫn năm vạn quân tự Thanh Châu đến; con rể là Cao Cán cũng dẫn năm vạn quân tự Tinh Châu đến, cùng đến Ký Châu trợ chiến
操见父老数人，须发尽白，乃命入帐中赐坐，问之曰：“老丈多少年纪？”答曰：“欲近百岁矣 ||| Thiệu mừng lắm, chỉnh lại quân mã đi đánh Tào Tháo
