第五回发矫诏诸镇应曹公破关兵三英战吕布	HỒI 5 Phát hiệu triệu, các trấn hưởng ứng Tào Công; Phá cửa quan, ba anh hùng đánh Lã Bố
王方欺他年幼，跃马迎战。	Vương Phương thấy Siêu còn bé khinh thường, nhảy ngựa lại đánh.
战不到数合，早被马超一枪刺于马下。马超勒马便回。	Chưa được mười hiệp, Mã Siêu đâm Phương chết ngã xuống đất, rồi quay ngựa trở về.
李蒙见王方刺死，一骑马从马超背后赶来。	Lý Mông thấy Phương chết, tế ngựa theo sau Mã Siêu để đánh trả thù.
超只做不知。	Siêu cứ lững thững đi trở về làm ra vẻ không biết.
马腾在阵门下大叫：“背后有人追赶！”	Mã Đằng ở cửa trận gọi to: "Đằng sau có người đuổi theo".
声犹未绝，只见马超已将李蒙擒在马上。	Đằng nói chưa dứt lời, đã thấy Mã Siêu bắt sống Lý Mông ngay ở trên mình ngựa.
原来马超明知李蒙追赶，却故意俄延；等他马近举枪刺来，超将身一闪，李蒙搠个空，两马相并，被马超轻舒猿臂，生擒过去。	Té ra Siêu vẫn biết có Mông đuổi, lờ như không trông thấy, đợi cho Mông đến, phóng dao ra đâm. Siêu mới tránh sang một bên, Mông đâm hụt, hai con ngựa giáp nhau. Siêu bấy giờ mới quờ tay vượn ra bắt sống được Mông.
军士无主，望风奔逃。	Quân Lý Mông không có chủ, chạy trốn tán lạc cả.
马腾、韩遂乘势追杀，大获胜捷，直逼隘口下寨，把李蒙斩首号令。	Mã Đằng, Hàn Toại thừa thế đuổi đánh, thắng to, xông thẳng đến cửa thành hạ trại rồi đem Lý Mông ra chém bêu đầu.
李傕、郭汜听知李蒙、王方皆被马超杀了，方信贾诩有先见之明，重用其计，只理会紧守关防，由他搦战，并不出迎。	Lý Thôi, Quách Dĩ thấy Mông, Phương cùng bị giết cả, mới tin là Giả Hủ có tài biết trước, bấy giờ mới nhất định dùng kế của Hủ, chỉ giữ vững các cửa thành mặc bên kia khiêu chiến thế nào cũng không ra.
果然西凉军未及两月，粮草俱乏，商议回军。	Quả nhiên chưa được hai tháng, quân Mã Đằng, Hàn Toại cạn lương, hai tướng phải bàn nhau rút quân về.
恰好长安城中马宇家僮出首家主与刘范、种邵，外连马腾、韩遂，欲为内应等情。	Giữa lúc ấy thì ở trong thành đầy tớ Mã Vũ ra thú với lũ Lý, Quách, kháo rằng chủ nó cùng với Lưu Phạm, Chủng Thiệu liên kết với Mã Đằng, Hàn Toại để làm nội ứng.
李傕、郭汜大怒，尽收三家老少良贱斩于市，把三颗首级，直来门前号令。	Lý, Quách giận lắm bắt hết cả già trẻ, lớn bé ba nhà đem ra chợ chém, rồi mang ba đầu lâu ra bêu trước cửa thành.
马腾、韩遂见军粮已尽，内应又泄，只得拔寨退军。	Mã Đằng, Hàn Toại thấy quân lương đã hết, nội ứng lại bị tiết lộ, phải nhổ trại đem quân về.
李傕、郭汜令张济引军赶马腾，樊稠引军赶韩遂，西凉军大败。马超在后死战，杀退张济。	Lý, Quách sai Trương Tế đem quân đuổi Mã Đằng, sai Phàn Trù đem quân đuổi Hàn Toại. Quân Tây Lương thua to, may được Mã Siêu đi hậu quân đánh lùi được quân Trương Tế.
樊稠去赶韩遂，看看赶上，相近陈仓，韩遂勒马向樊稠曰：“吾与公乃同乡之人，今日何太无情？”	Phàn Trù đuổi Hàn Toại, dần dần đuổi kịp, gần đến Trần Thương, Hàn Toại quay ngựa lại bảo Trù rằng: - Tôi với ông người cùng làng với nhau, nay sao vô tình quá thế!
樊稠也勒住马答道：“上命不可违！”	Trù thấy nói dừng ngựa lại nhìn rồi nói rằng: - Có lệnh trên sai, ta phải tuân theo!
韩遂曰：“吾此来亦为国家耳，公何相逼之甚也？”	Toại lại nói: - Tôi lại đây cũng vì việc nước, sao lại quá bức bách nhau như thế?
樊稠听罢，拨转马头，收兵回寨，让韩遂去了。	Trù nghe xong quay ngựa lại, thu quân trở về, để cho Toại đi.
不提防李傕之侄李别，见樊稠放走韩遂，回报其叔。	Không ngờ có cháu Lý Thôi là Lý Biệt đi theo sau, thấy Phàn Trù tha Hàn Toại, về mách với chú.
李傕大怒，便欲兴兵讨樊稠。	Thôi giận lắm muốn đem binh ra đón đánh Phàn Trù.
贾翊曰：“目今人心未宁，频动干戈，深为不便；不若设一宴，请张济、樊稠庆功，就席间擒稠斩之，毫不费力。”	Giả Hủ lại can rằng: - Nay nhân tâm chưa được yên, mà cứ dấy binh mãi mãi không nên, sao bằng mở một tiệc rượu, mời Trương, Phàn đến để mừng công, rồi đang cuộc rượu bắt Trù đem chém chẳng phải khó nhọc gì.
李傕大喜，便设宴请张济、樊稠。二将忻然赴宴。	Lý Thôi ưng theo kế ấy, bèn mở tiệc mời hai người đến. Trương, Phàn hớn hở đến ăn yến.
酒半阑，李傕忽然变色曰：“樊稠何故交通韩遂，欲谋造反？”	Đang giữa tiệc Lý Thôi sầm mặt lại rồi hỏi rằng: - Phàn Trù sao dám tư thông với Hàn Toại, định làm phản hay sao?
稠大惊，未及回言；只见刀斧手拥出，早把樊稠斩首于案下。	Trù giật nẩy mình, chưa kịp trả lời thì mấy tay đao phủ đã vào kéo Trù ra, chém ngay trước tiệc.
吓得张济俯伏于地。	Trương Tế trông thấy khiếp đảm, cúi rạp xuống tận đất.
李傕扶起曰：“樊稠谋反，故尔诛之；公乃吾之心腹，何须惊惧？”	Lý Thôi nâng Tế dậy mà nói rằng: - Trù mưu phản, nên ta phải giết. Người là tâm phúc với ta, việc gì mà sợ.
将樊稠军拨与张济管领。	Nói rồi Thôi đem quân của Trù, giao cho Tế quản lĩnh.
张济自回弘农去了。	Tế dẫn quân về Hoằng Nông.
李傕、郭汜自战败西凉兵，诸侯莫敢谁何。	Từ khi Lý Thôi, Quách Dĩ đánh được quân Tây Lương, chư hầu không ai dám chống lại.
贾诩屡劝抚安百姓，结纳贤豪。	Giả Hủ lại khuyên rằng: - Phải cốt giữ cho dân được yên; phải thu dùng những người hiền tài.
自是朝廷微有生意。	Từ bấy giờ trở đi triều đình mới hơi thấy có vẻ dễ chịu.
不想青州黄巾又起，聚众数十万，头目不等，劫掠良民。	Nhưng không ngờ lại có đám giặc Khăn Vàng ở Thanh Châu nổi dậy, tụ quân vài mươi vạn khởi loạn, cướp bóc của dân.
太仆朱儁保举一人，可破群贼。	Thái bộc là Chu Tuấn xin tiến cử một người để đi dẹp giặc.
李傕、郭汜问是何人。	Thôi, Dĩ hỏi ai.
朱儁曰：“要破山东群贼，非曹孟德不可。”	Tuấn nói: - Muốn phá giặc Sơn Đông, phi Tào Tháo không xong.
李傕曰：“孟德今在何处？”	Lý Thôi nói: - Bây giờ Tào Tháo ở đâu?
儁曰：“现为东郡太守，广有军兵。若命此人讨贼，贼可克日而破也。”	Chu Tuấn thưa: - Hiện Tháo đang làm thái thú Đông Quận, trong tay có nhiều quân sĩ, giá sai người này đi đánh giặc, thì không mấy bữa giặc sẽ tan.
李傕大喜，星夜草诏，差人赍往东郡，命曹操与济北相鲍信一同破贼。	Lý Thôi mừng lắm, ngay đêm hôm ấy thảo tờ chiếu cho người mang ra Đông Quận, sai Tào Tháo cùng với tướng Tế Bắc là Pháo Tín đi đánh giặc.
操领了圣旨，会合鲍信，一同兴兵，击贼于寿阳。	Tháo vâng chiếu họp với Pháo Tín, cùng tiến quân đánh giặc ở Thọ Dương.
鲍信杀入重地，为贼所害。	Pháo Tín vào đất giặc, bị giặc giết chết.
操追赶贼兵，直到济北，降者数万。	Còn Tào Tháo đuổi giặc đến tận Tế Bắc, giặc hàng vài vạn người.
操即用贼为前驱，兵马到处，无不降顺。	Tháo lại dùng ngay giặc làm tiền khu, quân đi đến đâu, giặc hàng đến đấy.
不过百余日，招安到降兵三十余万、男女百余万口。	Mới được hơn một trăm ngày chiêu an được hơn bốn mươi vạn quân hàng. Vừa đàn ông, đàn bà kéo lại theo Tháo hơn một triệu người.
操择精锐者，号为“青州兵”，其余尽令归农。	Tháo tuyển lấy những quân tinh nhuệ, đặt riêng một cánh quân gọi là quân Thạch Châu, còn bao nhiêu đuổi về cho làm ruộng.
操自此威名日重。捷书报到长安，朝廷加曹操为镇东将军。	Từ đó uy danh Tào Tháo mỗi ngày một lừng lẫy, tiếng đồn về đến tận kinh, triều đình phong cho Tháo làm Chấn đông tướng quân.
操在兖州，招贤纳士。	Tào Tháo ở Duyện Châu chiêu mộ thu dùng những người hiền sĩ.
有叔侄二人来投操：乃颍川颍阴人，姓荀，名彧，字文若，荀绲之子也；旧事袁绍，今弃绍投操；操与语大悦，曰：“此吾之子房也！”遂以为行军司马。	Ở làng Dĩnh Âm châu Dĩnh Xuyên, có một nhà hai chú cháu cùng đi theo Tào Tháo. Người chú họ Tuân tên Úc, tự là Văn Nhược, nguyên là con Tuân Côn... Úc trước đã thờ Viên Thiệu, bây giờ bỏ Thiệu về với Tháo. Tháo cùng Úc nói chuyện xong rồi mừng lắm nói rằng: "Người này là Tử Phòng của ta đây!", rồi cho làm hành quân tư mã.
其侄荀攸，字公达，海内名士，曾拜黄门侍郎，后弃官归乡，今与其叔同投曹操，操以为行军教授。	Người cháu tên là Tuân Du, tên chữ là Công Đạt, vốn có tiếng là một danh sĩ, trước đã làm hoàng môn thi lang, sau bỏ quan về làng, nay theo chú sang với Tào Tháo. Tháo cho làm hành quân giáo thụ.
荀彧曰：“某闻兖州有一贤士，今此人不知何在。”操问是谁，彧曰：“乃东郡东阿人，姓程，名昱，字仲德。”	Tuân Du lại nói với Tháo rằng: - Tôi nghe ở Duyện Châu có một người hiền sĩ, vốn ở Đông An, họ Trình tên Dục, tự là Trọng Đức, nhưng không biết bây giờ ở đâu?
	Người ấy chúa công nên dùng.
操曰：“吾亦闻名久矣。”	Tháo nói: - Ta đã biết tiếng Trình Dục từ lâu.
遂遣人于乡中寻问。访得他在山中读书，操拜请之。	Nói rồi sai người về tận Đông An để hỏi cho được, thấy họ bảo rằng: Trình Dục đang ở trong núi đọc sách.
程昱来见，曹操大喜。	Tháo cho mời ra, Trình Dục đến bái kiến, Tháo mừng lắm.
昱谓荀彧曰：“某孤陋寡闻，不足当公之荐。公之乡人姓郭，名嘉，字奉孝，乃当今贤士，何不罗而致之？”	Dục lại bảo với Tuân Úc rằng: - Tôi là người quê kệch, học hành chưa được mấy, không xứng đáng với sự tiến cử của ông. Nay tôi biết có một người cùng làng với ông, tên là Quách Gia.
彧猛省曰：“吾几忘却！”	
遂启操徵聘郭嘉到兖州，共论天下之事。郭嘉荐光武嫡派子孙，淮南成德人，姓刘，名晔，字子阳。	Gia đến Duyện Châu bàn việc thiên hạ với Tào Tháo, rồi lại tiến Tháo một người nữa, dòng dõi vua Quang Vũ, người Thanh Đức, họ Lưu tên Hoa, tự là Tử Dương.
操即聘晔至。	Tháo cho mời Hoa đến.
晔又荐二人：一个是山阳昌邑人，姓满，名宠，字伯宁；一个是武城人，姓吕，名虔，字子恪。	Hoa lại tiến hai người nữa, một người ở Sương Ấp, họ Mãn tên Sủng, tự là Bá Ninh; người nữa ở Vũ Thành, họ Lã tên Kiền, tự là Tử Khác.
曹操亦素知这两个名誉，就聘为军中从事。	Tháo cũng đã biết tiếng hai người ấy, cho nên đặt ngay làm trung quân tùng sự.
满宠、吕虔共荐一人，乃陈留平邱人，姓毛，名玠，字孝先。	Hai người lại tiến Tháo một người nữa, họ Mao tên Giới, ở Bình Kỳ, tự là Hiếu Tiên.
曹操亦聘为从事。	Tháo cũng cho làm tùng sự.
又有一将引军数百人，来投曹操：乃泰山巨平人，姓于，名禁，字文则。	Được ít bữa lại có một tướng nữa, đem vài trăm quân mã lại xin theo Tháo, người ở Cự Binh, tên là Vu Cấm, tự là Văn Tắc.
操见其人弓马熟娴，武艺出众，命为点军司马。	Tháo thấy người ấy bắn cung cưỡi ngựa giỏi, võ nghệ hơn người, liền cho làm điển quân tư mã.
一日，夏侯惇引一大汉来见，操问何人，惇曰：“此乃陈留人，姓典，名韦，勇力过人。	Một hôm Hạ Hầu Đôn lại dắt một người cực to lớn lại ra mắt Tào Tháo. Tháo hỏi ai, Đôn thưa rằng: - Người ấy ở Trần Lưu, họ Điển tên Vi, sức khỏe không ai địch nổi.
旧跟张邈，与帐下人不和，手杀数十人，逃窜山中。	Trước Vi đã theo Trương Mạc, liền giết vài mươi người rồi trốn vào núi ở.
惇出射猎，见韦逐虎过涧，因收于军中。今特荐之于公。”	Tôi đi săn gặp Điển Vi đang đuổi hổ nhảy qua suối, nay tôi đem về dâng chúa công.
操曰：“吾观此人容貌魁梧，必有勇力。”	Tháo nói: - Ta xem người này tướng mạo khôi ngô, tất là người có sức khỏe.
惇曰：“他曾为友报仇杀人，提头直出闹市，数百人不敢近。	Đôn lại nói: - Điển Vi từng báo thù cho bạn, giết người xách đầu ra ngoài chợ, hàng mấy trăm người không dám đến gần.
只今所使两枝铁戟，重八十斤，挟之上马，运使如飞。”	Y sử dụng được hai ngọn kích sắt, nặng hơn tám mươi cân, cắp ngồi trên ngựa, vung múa nhẹ như bay.
操即令韦试之。	Tào Tháo lập tức sai Vi ra thử kích.
韦挟戟骤马，往来驰骋。	Vi cắp đôi kích lên ngựa nhẹ nhàng đi lại như bay.
忽见帐下大旗为风所吹，岌岌欲倒，众军士挟持不定；韦下马，喝退众军，一手执定旗杆，立于风中，巍然不动。	Bỗng bấy giờ có một cơn gió to, lá cờ lớn trồng dưới trướng lung lay sắp đổ. Quân sĩ lại xúm xít ôm giữ không nổi. Điển Vi thấy vậy, từ trên ngựa nhảy xuống, quát to một tiếng, đuổi quân sĩ lui ra, rồi một tay nắm chắc lấy, cột cờ đứng im phăng phắc giữa luồng gió.
