第八十一回急兄仇张飞遇害雪弟恨先主兴兵	HỒI 81 Vội báo thù, Trương Phi bị hại; Mong rửa hận, tiên chủ cất quân
却说诸葛恪之妻正在房中心神恍惚，动止不宁，忽一婢女入房。	Vợ Gia Cát Khác đang ở trong phòng bỗng nhiên tâm hồn hoảng hốt, ngồi đứng không yên.
恪妻问曰：“汝遍身如何血臭？”	Chợt có một nàng hầu vào trong phòng, người vợ trông thấy hỏi rằng: - Mày sao máu me đẫm cả mình mẩy thế?
其婢忽然反目切齿，飞身跳跃，头撞屋梁，口中大叫：“吾乃诸葛恪也！ 被奸贼孙峻谋杀！”	Người hầu tự nhiên nghiến răng trợn mắt, nhảy lên chồm chồm, va cả đầu vào sà nhà, kêu to lên rằng: - Tao là Gia Cát Khác đây, tao bị quân gian tặc là Tôn Tuấn nó hại rồi!
恪合家老幼，惊惶号哭。	Cả nhà già trẻ đều kinh hãi, kêu khóc.
不一时，军马至，围住府第，将恪全家老幼，俱缚至市曹斩首。	Một lát, quân mã đến vây phủ, bắt hết già trẻ cả nhà, điệu ra chợ chém sạch.
时吴建兴二年冬十月也。	Bấy giờ là tháng mười, năm Đại Hưng thứ hai nhà Ngô.
昔诸葛瑾存日，见恪聪明尽显于外，叹曰：“此子非保家之主也！”	Khi xưa Gia Cát Cẩn, thấy con thông minh lộ hết ra ngoài, có than rằng: "Thằng này không phải là con nhà giữ được cơ nghiệp".
又魏光禄大夫张缉，曾对司马师曰：“诸葛恪不久死矣。”	Quang Lộc đại phu nước Ngụy là Trương Thấp thường nói chuyện với Tư Mã Sư rằng: "Gia Cát Khác chẳng bao lâu nữa tất chết".
师问其故，缉曰：“威震其主，何能久乎？”	Sư hỏi tại sao, Thấp nói: "Oai lấn cả chúa, thì bền thế nào được?".
至此果中其言。	Hai lời ấy quả nhiên linh nghiệm.
却说孙峻杀了诸葛恪，吴主孙亮封峻为丞相、大将军、富春侯，总督中外诸军事。	Tôn Tuấn giết xong Gia Cát Khác, Ngô chủ phong Tuấn làm thừa tướng, đại tướng quân, Phú Xuân hầu, tổng đốc mọi việc quân trong ngoài.
自此权柄尽归孙峻矣。	Từ bấy giờ quyền hành lại về cả tay Tôn Tuấn.
且说姜维在成都，接得诸葛恪书，欲求相助伐魏，遂入朝，奏准后主，复起大兵，北伐中原。	Khương Duy ở Thành Đô, tiếp được thư của Gia Cát Khác cầu đánh Ngụy giúp, liền vào chầu, tâu với Hậu chủ, xin cất đại quân sang đánh Trung Nguyên.
正是：一度兴师未奏绩，两番讨贼欲成功。	Ấy là: Ra quân chuyến trước chưa nên việc. Đánh giặc phen này muốn lập công.
未知胜负如何，且看下文分解。	Chưa biết được thua thế nào, xem hồi sau phân giải.
第一百九回困司马汉将奇谋废曹芳魏家果报	HỒI 109 Vây Tư Mã, mưu lạ Khương Duy; Bỏ Tào Phương, quả báo nhà Ngụy
蜀汉延熙十六年秋，将军姜维起兵二十万，令廖化、张翼为左右先锋，夏侯霸为参谋，张嶷为运粮使，大兵出阳平关伐魏。	Năm Diên Hy thứ mười sáu nhà Thục, mùa thu, tướng quân Khương Duy cất hai chục vạn quân; sai Liêu Hoá, Trương Dực làm tả hữu tiên phong, Hạ Hầu Bá làm tham mưu, Trương Ngực làm vận lương sứ, đem quân ra ải Dương Bình đánh Ngụy.
维与夏侯霸商议曰：“向取雍州，不克而还；今若再出，必又有准备。	Khương Duy bàn với Hạ Hầu Bá rằng: - Trước kia lấy Ung Châu không được phải trở về, nay tất đấy có phòng bị cả rồi.
公有何高见？”	Ông có cao kiến gì không?
霸曰：“陇上诸郡，只有南安钱粮最广；若先取之，足可为本。	Bá nói: - Các quận xứ Lũng Thượng, chỉ có quận Nam An lắm tiền lương. Nếu lấy trước được quận ấy thì mới đủ làm nơi căn bản.
向者不克而还，盖因羌兵不至。	Trước kia phải trở về, là vì quân Khương không đến.
今可先遣人会羌人于陇右，然后进兵出石营，从董亭直取南安。”	Nay nên sai người hội với người Khương ở Lũng Hữu trước, rồi sẽ tiến binh ra xứ Thạch Doanh, theo đường Đổng Đình mà đến thẳng Nam An.
维大喜曰：“公言甚妙！”	Duy mừng lắm, nói: - Ông nói phải lắm!
遂遣郤正为使，赍金珠蜀锦入羌，结好羌王。 羌王迷当，得了礼物，便起兵五万，令羌将俄何烧戈为大先锋，引兵南安来。	Bèn sai Khước Chính mang vàng ngọc, gấm vóc sang xứ rợ Khương kết hiếu. Vua Khương là Mễ Đương được lễ vật rồi; liền cất năm vạn quân, sai Khương tướng là Nga Hà Thiêu qua làm đại tiên phong, dẫn quân đến quận Nam An.
. 魏左将军郭淮闻报，飞奏洛阳。	Tả tướng quân nước Ngụy là Quách Hoài nghe tin, báo về Lạc Dương.
司马师问诸将曰：“谁敢去敌蜀兵？”	Tư Mã Sư hỏi các tướng rằng: - Có ai dám ra địch quân Thục không?
辅国将军徐质曰：“某愿往。”	Phục quốc tướng quân Từ Chất xin đi.
师素知徐质英勇过人，心中大喜，即令徐质为先锋，令司马昭为大都督，领兵望陇西进发。	Sư vẫn biết Từ Chất là người khỏe mạnh, trong bụng mừng rỡ liền cho làm tiên phong. Lại sai em là Tư Mã Chiêu làm đại đô đốc, lĩnh binh kéo ra Lũng Tây.
军至董亭，正遇姜维，两军列成阵势。	Từ Chất đi đến Đổng Đình thì vừa gặp quân Khương Duy tới. Hai bên dàn trận.
徐质使开出大斧，出马挑战。	Từ Chất sử dụng một lưỡi búa khai sơn cực to, ra ngựa khiêu chiến.
蜀阵中廖化出迎。	Trận bên Thục, Liêu Hóa ra địch.
战不数合，化拖刀败回。 张翼纵马挺枪而迎，战不数合，又败入阵。	Đánh nhau chưa được vài hiệp Hóa cầm đại đao chạy về, Trương Dực thúc ngựa vác giáo ra đánh. Được vài ba hiệp, Dực cũng thua chạy vào trận.
徐质驱兵掩杀，蜀兵大败，退三十余里。	Từ Chất thúc quân đánh tràn vào, quân Thục thua to, lui về hơn ba chục dặm.
司马昭亦收兵回，各自下寨。	Tư Mã Chiêu cũng thu quân về, hai bên cùng lập trại cầm cự.
姜维与夏侯霸商议曰：“徐质勇甚，当以何策擒之？”	Khương Duy hỏi Hạ Hầu Bá rằng: - Từ Chất khỏe lắm, nên dùng mẹo gì bắt cho được?
霸曰：“来日诈败，以埋伏之计胜之。”	Bá nói: - Ngày mai giả thua, dùng kế mai phục mà bắt.
维曰：“司马昭乃仲达之子，岂不知兵法？	Duy nói: - Tư Mã Sư là con Trọng Đạt, lạ gì binh pháp nữa?
若见地势掩映，必不肯追。	Nếu hắn thấy chỗ địa thế khuất khúc, tất không đuổi theo.
吾见魏兵累次断吾粮道，今却用此计诱之，可斩徐质矣。”	Ta xem quân Ngụy mấy phen chặn đường mang lương của ta, nay nên dùng ngay mẹo ấy mà làm gì, thì mới chém được Từ Chất.
遂唤廖化分付如此如此，又唤张翼分付如此如此：二人领兵去了。	Bèn gọi Liêu Hóa, Trương Dực vào dặn dò mẹo mực, sai hai người lĩnh binh đi.
一面令军士于路撒下铁蒺藜，寨外多排鹿角，示以久计。	Một mặt sai binh sĩ thả chông ngoài đường và rào trông chà kín chung quanh trại, làm ra vẻ muốn ở lâu dài.
徐质连日引兵搦战，蜀兵不出。	Từ Chất mấy hôm dẫn quân ra khiêu chiến, quân Thục không ra.
哨马报司马昭说：“蜀兵在铁笼山后，用木牛流马搬运粮草，以为久计，只待羌兵策应。”	Có tiểu mã báo với Tư Mã Chiêu rằng: - Quân Thục dùng trâu ngựa gỗ tải vận lương thảo ở sau núi Thiết Lung.
昭唤徐质曰：“昔日所以胜蜀者，因断彼粮道也。	Chiêu gọi Từ Chất đến bảo rằng: - Khi xưa ta phá được quân Thục, là bởi chặn được đường vận lương của họ.
今蜀兵在铁笼山后运粮，汝今夜引兵五千，断其粮道，蜀兵自退矣。”	Nay quân Thục vận lương sau núi Thiết Lung, ngươi nên dẫn năm nghìn quân đêm nay ra chặn đường ấy, tự nhiên quân Thục phải rút về.
徐质领令，初更时分，引兵望铁笼山来，果见蜀兵二百余人，驱百余头木牛流马，装载粮草而行。	Từ Chất lĩnh mệnh, đầu canh một, dẫn quân ra núi Thiết Lung, quả nhiên thấy hơn hai trăm quân Thục dắt một đàn trâu ngựa gỗ hơn trăm con, đang vận lương đi.
魏兵一声喊起，徐质当先拦住。	Quân Ngụy reo ồ một tiếng, Từ Chất ra chặn ngang đường.
蜀兵尽弃粮草而走。	Quân Thục bỏ cả lương thảo mà chạy.
质分兵一半，押送粮草回寨；自引兵一半追来。	Chất chia một nửa quân vận lương đem về trại, còn một nửa quân đuổi theo.
追不到十里，前面车仗横截去路。	Đuổi được mười dặm, bỗng thấy xa trượng ngổn ngang chặn mất lối đi.
质令军士下马拆开车仗，只见两边忽然火起。	Chất sai quân xuống ngựa dọn đường, bỗng thấy lửa bốc lên ngùn ngụt.
质急勒马回走，后面山僻窄狭处，亦有车仗截路，火光迸起。 质等冒烟突火，纵马而出。	Chất vội vàng quay ngựa trở về. Chạy đến con đường hẻm sườn núi, lại bị xa trượng lấp lối, rồi lửa cháy sáng rực.
一声炮响，两路军杀来：左有廖化，右有张翼，大杀一阵，魏兵大败。	Bỗng đâu một tiếng pháo nổ, quân hai mặt đổ đến, tả Liêu Hóa, hữu Trương Dực, đánh một trận cực rát, quân Ngụy thua chạy tan hoang.
徐质奋死只身而走，人困马乏，正奔走间，前面一枝兵杀到，乃姜维也。 质大惊无措，被维一枪刺倒座下马，徐质跌下马来，被众军乱刀砍死。	Từ Chất còn độc một mình cắm đầu chạy miết, người ngựa mệt nhoài. Chợt lại gặp Khương Duy dẫn một toán quân đến. Chất giật mình, bị Khương Duy đâm trúng một ngọn giáo ngã ngựa, quân Thục kéo ồ lại, băm Chất nhỏ ra như cám.
质所分一半押粮兵，亦被夏侯霸所擒，尽降其众。	Một nửa quân vận luơng cũng bị Hạ Hầu Bá bắt được cả.
霸将魏兵衣甲马匹，令蜀兵穿了，就令骑坐，打着魏军旗号，从小路径奔回魏寨来。	Bá lấy áo giáp và ngựa của quân Ngụy, cho quân Thục mặc vào, cưỡi ngựa cầm cờ hiệu nước Ngụy, đi theo đường nhỏ, chạy vào trại Ngụy.
魏军见本部兵回，开门放入，蜀兵就寨中杀起。	Quân Ngụy thấy quân nhà trở về, mở cửa chạy cho vào. Quân Thục vào đến trại vùng lên đánh giết.
司马昭大惊，慌忙上马走时，前面廖化杀来。	Tư Mã Chiêu giật mình, vội vàng nhảy lên ngựa chạy thì đã thấy Liêu Hóa kéo đến.
昭不能前进，急退时，姜维引兵从小路杀到。	Chiêu không ra được mé trước, chạy lùi lại mé sau, gặp ngay Khương Duy dẫn quân từ con đường nhỏ đánh sang.
昭四下无路，只得勒兵上铁笼山据守。	Chiêu trông ra bốn phía không còn đường nào, phải dắt quân lên đóng trên núi Thiết Lung.
原来此山只有一条路，四下皆险峻难上；其上惟有一泉，止够百人之饮，——此时昭手下有六千人，被姜维绝其路口，山上泉水不敷，人马枯渴。	Núi ấy bốn bề hiểm trở cao ngất, chỉ có một đường trèo lên. Trên núi có một ngọn suối, chỉ đủ nước cho trăm người uống. Bấy giờ quân của Chiêu có tất cả sáu nghìn người bị Khương Duy chặn mất cửa núi không xuống được.
昭仰天长叹曰：“吾死于此地矣！”	Nước suối trên núi không đủ dùng, người ngựa khô khát, Chiêu ngẩng cổ lên trời than rằng: - Ta chết ở đây mất thôi!
后人有诗曰：“妙算姜维不等闲，魏师受困铁笼间：庞涓始入马陵道，项羽初围九里山。”	Người sau có thơ rằng: Mẹo kế Khương Duy chẳng phải vừa, Ngụy quân bị khốn Thiết Lung xưa, Mã Lăng ngày trước Bằng Quyên chiếm, Cửu Lý lúc đầu Hạng Vũ vây.
主簿王韬曰：“昔日耿恭受困，拜井而得甘泉。 将军何不效之？”	Chủ bộ Vương Thao nói rằng: - Ngày xưa Cảnh Cung bị vây, lễ giếng cầu khấn mà được suối ngọt, tướng quân sao không bắt chước làm đi?
昭从其言，遂上山顶泉边，再拜而祝曰：“昭奉诏来退蜀兵，若昭合死，令甘泉枯竭，昭自当刎颈，教部军尽降；如寿禄未终，愿苍天早赐甘泉，以活众命！”	Chiêu nghe lời, lên trên đỉnh núi, bảo với các tướng rằng: "Chiêu phụng chiếu ra dẹp quân Thục, nếu số mệnh đã hết thì suối ngọt khô ráo. Chiêu xin tự vẫn, để cho quân sĩ hàng cả. Nếu vận hãy còn, xin trời cho suối chảy ngay ra, để cứu lấy mệnh chúng".
祝毕，泉水涌出，取之不竭，因此人马不死。	Chiêu khấn đoạn, nước bỗng tuôn ra tràn suối, tha hồ ăn uống không hết. Bởi thế quân mã không việc gì.
却说姜维在山下困住魏兵，谓众将曰：“昔日丞相在上方谷，不曾捉住司马懿，吾深为恨；今司马昭必被吾擒矣。”	Khương Duy vây giữ được quân Ngụy ở trên núi, bảo với các tướng rằng: - Khi xưa thừa tướng bắt không được Tư Mã Ý ở trong hang Thượng Phương, ta vẫn lấy làm căm tức. Nay thì ta chắc bắt được Tư Mã Chiêu rồi.
却说郭淮听知司马昭困于铁笼山上，欲提兵来。	Quách Hoài nghe tin Tư Mã Chiêu bị khốn trên núi Thiết Lung, muốn mang quân lại cứu.
陈泰曰：“姜维会合羌兵，欲先取南安。	Trần Thái nói: - Khương Duy hội họp với quân Khương, muốn cướp quân Nam An của ta.
今羌兵已到，将军若撤兵去救，羌兵必乘虚袭我后也。	Nay quân Khương đã đến, nếu tướng quân cất quân đi cứu, thì quân Khương tất thừa cơ chụp đánh sau ta.
可先令人诈降羌人，于中取事；若退了此兵，方可救铁笼之围。”	Ta nên trước hết sai người trá hàng quân Khương, dùng mẹo đánh đuổi quân Khương đi, rồi mới giải vây núi Thiết Lung được.
郭淮从之，遂令陈泰引五千兵，径到羌王寨内，解甲而入，泣拜曰：“郭淮妄自尊大，常有杀泰之心，故来投降。	Quách Hoài nghe lời, sai Trần Thái dẫn năm nghìn quân đến thành vua Khương, cởi giáp đi vào. Trần Thái lại rồi khóc rằng: - Quách Hoài kiêu kỳ hợm mình, mang lòng muốn giết tôi, vậy tôi đến hàng.
