奉勅開載諸臣職名總裁	Vâng sắc khai chép tên chức và tên các quan trong Quốc sử quán: Tổng tài:
清順治元年乙酉丙戌丁亥戊子 卷四太宗孝哲皇帝在九已丑元年 黎改元慶德庚寅辛卯壬辰癸已 黎改元盛德 甲午乙未丙申丁酉戊戌黎改元永壽 已亥庚子辛丑壬寅黎改元萬慶淸	Thái Tông Hiếu triết hoàng đế [Phước tần] (ở ngôi 39 năm) Kỷ sửu, năm thứ 1 (Nhà Lê niên hiệu là Khánh Đức) Canh dần Tân mão Nhâm thìn Quý tỵ (Nhà Lê đổi niên hiệu là Thịnh Đức) Giáp ngọ ất mùi Bính thân Đinh dậu Mậu tuất (Nhà Lê đổi niên hiệu là Vĩnh Thọ) Kỷ hợi Canh tý Tân sửu Nhâm dần (Nhà Lê đổi niên hiệu là Vạn Khánh, Thanh Khang Hy năm 1).
卷五太宗孝哲皇帝癸卯黎景治元年甲辰乙已丙午丁未戊申已酉庚戌辛亥壬子黎陽德元年癸丑甲寅黎改元德元 乙卯丙辰黎永治元年丁巳戊午己未庚申黎改元正和辛酉壬戌癸亥甲子乙丑丙寅丁卯	thái tông hiếu triết hoàng đế Quý mão (Lê Cảnh Trị năm 1) Giáp thìn ất tỵ Bính ngọ Đinh mùi Mậu thân Kỷ dậu Canh tuất Tân hợi Nhâm tý (Lê Dương Đức năm 1) Quý sửu Giáp dần (Nhà Lê đổi niên hiệu là Đức Nguyên) ất mão Bính thìn (Lê Vĩnh Trị năm 1) Đinh tỵ Mậu ngọ Kỷ mùi Canh thân (Nhà Lê đổi niên hiệu là Chính Hòa) Tân dậu Nhâm tuất Quý hợi Giáp tý ất sửu Bính dần Đinh mão.
卷六英宗孝義皇帝在位四年戊辰元年己巳庚午辛未	Quyển VI. Anh tông hiếu nghĩa hoàng đế (Phước trăn) (ở ngôi 4 năm) Mậu thìn, năm thứ 1 Kỷ tỵ Canh ngọ Tân mùi.
卷七顯宗孝明皇帝在位三十四年 壬申元年癸酉甲戌乙亥 丙子丁丑	Quyển VII. Hiển tông hiếu minh hoàng đế [Phước chu] (ở ngôi 34 năm) Nhâm thân, năm thứ 1 Quý dậu Giáp tuất ất hợi Bính tý Đinh sửu Mậu dần Kỷ mão Canh thìn Tân tỵ Nhâm ngọ Quý mùi Giáp thân ất dậu (Lê Vĩnh Thịnh năm 1) Bính tuất.
庚辰辛巳壬午癸未甲申乙酉黎永盛元年丙戌卷八顯宗孝明皇帝丁亥戊子巳丑庚寅辛卯壬辰癸已甲午乙未丙申丁酉戊戌已亥庚子黎改元保泰	hiển tông hiếu minh hoàng đế Đinh hợi Mậu tý Kỷ sửu Canh dần Tân mão Nhâm thìn Quý tỵ Giáp ngọ ất mùi Bính thân Đinh dậu Mậu tuất Kỷ hợi Canh tý (Nhà Lê đổi niên hiệu là Bảo Thái) Tân sửu Nhâm dần Quý mão (Thanh Ung Chính năm 1) Giáp thìn ất tỵ.
卷九肅宗孝寧皇帝在位十三年丙午元年丁未戊申已酉黎永麽元年庚戌辛亥壬子黎龍德元年癸丑甲寅乙卯黎永佈元年丙辰淸乾隆元年丁已戊午 卷十世宗孝武皇帝在位二十七年 已未元年庚申黎景興元年辛酉壬戌	Túc tông hiếu ninh hoàng đế [Phước chú] (ở ngôi 13 năm) Bính ngọ, năm thứ 1 Đinh mùi Mậu thân Kỷ dậu (Lê Vĩnh Khánh năm 1) Canh tuất Tân hợi Nhâm tý (Lê Long Đức năm 1) Quý sửu Giáp dần ất mão (Lê Vĩnh Hựu năm 1) Bính thìn (Thanh Càn Long năm 1) Đinh tỵ Mậu ngọ.
癸亥	Quyển X.
乙亥	Quyển XI.
戊寅已卯 庚辰辛已 壬午 癸未甲申乙酉卷十一睿宗孝定皇帝在位十二年丙戌元年丁亥戊子已丑	Quyển XI Tháng 7 mùa thu năm Kỷ mùi thứ 20 đến tháng 12 mùa đông. Quyển XII Tháng giêng mùa xuân năm Canh thân thứ 21 đến tháng 12 mùa đông. Quyển XIII Tháng giêng mùa xuân năm Tân dậu thứ 22 đến tháng 4 mùa hạ. Quyển XIV Tháng 5 mùa hạ năm Tân dậu thứ 22 đến tháng 7 mùa thu. Quyển XV Tháng 8 mùa thu năm Tân dậu thứ 22 đến tháng 12 mùa đông. Quyển XVI Tháng giêng mùa xuân năm Nhâm tuất thứ 23 đến tháng 4 mùa hạ.
大南寔錄前編卷十世宗孝武皇帝寔錄世宗乾剛威斷神毅聖猷仁慈睿智孝武皇帝諱濶 又諱曉 聖誕甲午年	Tiền biên Quyển X. Tiền biên - Quyển X. Thực lục về Thế tông Hiếu vũ hoàng đế Thế tông Càn Cương Uy Đoán Thần Nghị Thánh Du Nhân Từ Duệ Trí Hiếu vũ hoàng đế, húy là.
黎永盛十年 清康熙五十三年 肅宗孝寧皇帝長子也	, lại húy là [Phước Khoát], sinh năm Giáp ngọ (Lê Vĩnh Thịnh năm 10, Thanh Khang Hy năm 53), là con cả của Túc tông Hiếu ninh hoàng đế.
母孝寧皇后張氏	Mẹ là Hiếu ninh hoàng hậu Trương thị.
初封前水營掌營正侯治邸於陽春前翼奇	Đầu được phong làm Chưởng dinh dinh Tiền thủy. chính hầu, làm phủ đệ tại cơ Tiền Dực ở Dương Xuân.
戊午 夏四月壬寅肅宗孝寧皇帝崩	Năm Mậu ngọ, mùa hạ, tháng 4, ngày Nhâm dần, Túc tông Hiếu ninh hoàng đế băng.
群臣奉遺命尊爲節制水步諸營兼總內外平章軍國重事 太保曉郡公	Bầy tôi vâng di mệnh tôn chúa làm Tiết chế thủy bộ chư dinh kiêm Tổng nội ngoại bình chương quân quốc trọng sự thái bảo Hiểu quận công.
時年二十五 號慈濟道人	Bấy giờ 25 tuổi, hiệu là Từ tế đạo nhân.
已酉立正府於富春 在舊府之左	Ngày Kỷ dậu, lập phủ chính ở Phú Xuân (bên tả phủ cũ).
以平順該簿陳廷憙 陳延慶之子爲正營知簿	Lấy Cai bạ Bình Thuận là Trần Đình Hỷ (con Trần Đình Khánh) làm Tri bạ Chính dinh.
已未元年 黎永佈五年 清乾隆四年春正月辛未正府成	Kỷ mùi, năm thứ 1 (Lê Vĩnh Hựu năm 5, Thanh Càn Long năm 4), mùa xuân, tháng giêng, ngày Tân mùi, phủ chính hoàn thành.
眞臘匿盆侵河僊 眞臘以失地故怨鄭玖玖卒	Nặc Bồn nước Chân Lạp lấn Hà Tiên. Chân Lạp oán Mạc Cửu vì cớ mất đất.
天賜初領鎭節盆遂舉兵來侵 天賜畫率所部擊之逐至柴末日夜鏖戰餽運不繼	Cửu chết, Thiên Tứ mới lĩnh trấn tiết, Bồn bèn cử binh đến lấn. Thiên Tứ đem hết quân bản bộ ra đánh, đuổi tới Sài Mạt, ngày đêm đánh hăng lương thực không tiếp kịp.
其妻阮氏率兵婦轉餉飯軍軍不乏食奮擊盆兵大破之	Vợ là Nguyễn thị đốc suất vợ lính vận lương đến nuôi quân, quân không bị thiếu ăn, hăng hái cố đánh phá được quân Bồn.
捷聞上大加奬異特授天賜都督將軍賜紅袍冠帶封阮氏爲夫人	Tin thắng trận báo lên, chúa cả khen ngợi, đặc biệt cho Thiên Tứ chức Đô đốc tướng quân, ban cho áo bào đỏ và mũ đai, phong Nguyễn thị làm phu nhân.
由是眞臘不敢窺河僊矣	Do đó Chân Lạp không dám dòm ngó Hà Tiên nữa.
贈內右掌營阮久世爲少傅忠國公	Truy tặng Nội hữu chưởng dinh Nguyễn Cửu Thế làm Thiếu phó Trung Quốc công.
世歷事顯宗 肅宗兩朝	Thế làm quan trải hai triều Hiển tông và Túc tông.
上在靑宮時盡心輔導 至是追念加贈 尋授其子通爲內左掌奇知漕運事	Khi chúa còn ở Thanh cung, Thế hết lòng phụ đạo, đến đây nhớ lại mà gia tặng, rồi bổ con [Thế] là Thông làm Nội tả chưởng cơ tri tào vận sự.
夏四月追給掌營宋福禍寓祿民雲梯 艮田 富門 黃安四社坊二百人	Mùa hạ, tháng 4, truy cấp dân ngụ lộc (bốn xã phường Vân Thê, Lương Điền, Phú Môn, Hoàng An) 200 người cho Chưởng dinh Tống Phước Đào.
六月右水 該隊尊室沺 顯宗第十二于薨贈太保胤國公	Tháng 6, Cai đội Hữu Thủy là Tôn Thất Điền (con thứ 12 của Hiển tông) mất, tặng Thái bảo Dận quốc công.
庚申二年黎景興元年 淸 乾隆五年春正月黎鄭楹逼其兄橿遜政	Canh thân, năm thứ 2 (Lê Cảnh Hưng năm 1, Thanh Càn Long năm 5), mùa xuân, tháng giêng, Trịnh Doanh triều Lê bắt anh là Khương phải lui nhường [ngôi cho mình].
橿尋死	Rồi Khương chết.
夏五月黎帝禪位于姪維祧維祧卽位	Mùa hạ, tháng 5, vua Lê nhường ngôi cho cháu là Duy Diêu.
改元景興 是爲顯尊	Duy Diêu lên ngôi, đổi niên hiệu là Cảnh Hưng, tức là Hiển tông.
尊黎帝爲太上皇	Tôn vua Lê làm Thái thượng hoàng.
六月丁亥群臣上尊號爲太傅國公	Tháng 6, ngày Đinh hợi, bầy tôi dâng tôn hiệu là Thái phó quốc công.
秋八月更定試法第一四六中者爲饒學	Mùa thu, tháng 8, định lại phép thi:
免五年差餘錢 第二詩賦第三經義中者復其身 第四策問中者爲鄕貢 補知府	kỳ đệ nhất thi tứ lục, ai trúng là nhiêu học, được miễn tiền sai dư 5 năm; kỳ đệ nhị thi thơ phú; kỳ đệ tam thi kinh nghĩa, ai trúng được miễn phú dịch; kỳ đệ tứ thi văn sách, ai trúng là Hương cống, được bổ tri phủ, tri huyện, huấn đạo.
知縣訓導以記錄阮承緒爲廣南營記錄	Lấy Ký lục Nguyễn Thừa Tự làm Ký lục dinh Quảng Nam.
辛酉三年命查檢戊午 已未 庚申三年錢粟花鹽 順化有鹽田稅嵗收二千五百餘簍 廣南有鹽丁稅 每丁歲納六簍或四簍三簍 諸稅例充欠之數	Tân dậu, năm thứ 3, sai kiểm tra những tiền thóc thuế và thuế muối (Thuận Hóa có thuế ruộng muối, mỗi năm thu được hơn 2500 sọt; Quảng Nam có thuế người làm muối, mỗi năm đinh phải nộp 6 sọt, hay 4 sọt, 3 sọt) trong ba năm Mậu ngọ, Kỷ mùi, Canh thân, xem đủ thiếu thế nào.
國初隨地置倉 倉在何社 則以其社名之 收貯錢粟產物以便民輸納	Buổi quốc sơ, tùy đất mà đặt kho (kho ở xã nào thì lấy xã ấy mà đặt tên) thu chứa tiền thóc và sản vật để tiện cho dân chở nộp.
富榮壽康倉 香茶月瓢倉 海陵石捍倉 明靈來格倉 麗水安宅倉 康祿忠禎倉 長育倉	kho Thọ Khang huyện Phú Vang, kho Nguyệt Biều huyện Hương Trà, kho Thạch Hãn huyện Hải Lăng, kho Lai Cách huyện Minh Linh, kho An Trạch huyện Lệ Thủy, kho Trung Trinh và kho Trường Dục huyện Khang Lộc.
廣南以南凡十二倉 升華新安倉 廣義安康倉	Từ Quảng Nam trở về nam gồm có 12 kho:
思恭倉 歸寧富登倉 時富倉 淡水倉 乾陽倉 富安安全倉 春臺倉 平康富安倉 延寧福安倉	kho Tân An phủ Thăng Hoa, kho An Khang, kho Tư Cung phủ Quảng Ngãi, kho Phú Đăng, kho Thời Phú, kho Đạm Thủy, kho Càn Dương phủ Quy Ninh, kho An Toàn, kho Xuân Đài phủ Phú Yên, kho Phú Yên phủ Bình Khang, kho Phước Yên huyện Diên Ninh, kho Tân Định xứ Gia Định.
嘉定新定倉 又以嘉定地廣立别納别載九庫場 歸安 歸化 景陽 天姥 菅草黃蠟三歷把耕新盛 聽民隨便立邑開耕納稅 各設官吏以徵收之	Lại cho rằng Gia Định đất rộng, lập 9 khố trường nộp riêng chở riêng (Quy An, Quy Hóa, Cảnh Dương, Thiên Mụ, Quản Thảo, Hoàng Lạp, Tam Lạch, Ba Canh, Tân Thịnh), cho dân tùy tiện lập ấp vỡ ruộng cày cấy nộp thuế và đặt quan lại để trưng thu.
因循旣久 吏或夤緣爲姦	Bọn lại theo thói quen đã lâu, hoặc có kẻ dựa thế làm gian.
上知其弊 命官分往查檢 復令諸地方歲照所收錢粟產物數目及編收人名彙册以進立法始爲詳備	Chúa biết tệ ấy, sai quan chia nhau đi kiểm tra, lại ra lệnh cho các địa phương hằng năm phải chiếu số mục tiền thóc và sản vật thu được và tên những người biên thu làm sổ dâng lên, phép ấy mới được rõ ràng đầy đủ.
以阮居貞爲文職	Lấy Nguyễn Cư Trinh làm văn chức.
壬戌四年改歸寧府爲歸仁府 延寧府爲延慶府	Nhâm tuất, năm thứ 4, đổi phủ Quy Ninh làm phủ Quy Nhơn, phủ Diên Ninh làm phủ Diên Khánh.
癸亥五年追給少師尊室演寓祿民春和 上魯東野三社村二百人	Quý hợi, năm thứ 5, truy cấp dân ngụ lộc (ba xã thôn Xuân Hòa, Thượng Lỗ, Đông Dã) 200 người cho Thiếu sư Tôn Thất Diễn.
甲子六年夏四月時有優曇開花之瑞 群臣阮登盛等奉表請上正王位	Giáp tý, năm thứ 6, mùa hạ, tháng 4. Bấy giờ có điềm tốt cây sung nở hoa, bầy tôi là bọn Nguyễn Đăng Thịnh dâng biểu xin chúa lên ngôi vương (Đại lược nói rằng:
略口正名分於一國維新之始 興禮樂於百年積德之餘	Chính danh phận khi nước buổi đầu đổi mới, sửa lễ nhạc sau khi tích đức trăm năm.
及日覇圖峙立黄旗自表于東南 王兆大橫玉璽巳馳于渭北	Lại nói: Nghiệp bá vững bền, miền Đông Nam cờ vàng xuất hiện; triệu vương rộng thấy, bên Vị bắc ấn ngọc rủi ngay.
列辟羅廷而申請九重端冕以撝謙星自拱于紫垣 日允升于黃道	Bầy tôi sắp hàng mà trấn thỉnh: Các sao đã chầu về Tử vi; mặt trời đã lên đến Hoàng đạo.
以七十里之疆宇 自開玄鳥之基矧三千里之輿圖 尙踐桓圭之位	Chỉ với 70 dặm bờ cõi, [nhà Thương] đã dựng nền huyền điểu, huống hồ 3000 dặm dư đồ, sao còn đứng địa vị hoàn khuê?.
上謙讓不受群臣再三固請 上乃從之	Chúa nhún nhường không chịu nhận. Bầy tôi hai ba lần nài xin, chúa mới theo.
庚戌 鑄國王印 先是署置官吏用示付字下僉太傳國公花押用總鎭將軍之印	Ngày Canh tuất, đúc ấn quốc vương (Trước thì khi bổ dùng quan lại chỉ dùng chữ "thị phó", dưới kiềm dấu "Thái phó quốc công", và dùng ấn "Tổng trấn tướng quân").
已未上卽王位于富春正府	Ngày Kỷ mùi, chúa lên ngôi vua ở phủ chính Phú Xuân.
下詔大赦境內	Xuống chiếu đại xá trong nước.
詔曰	Chiếu rằng:
金玉式昭絲綸誕播我國家 烏州發迹駿命肇邦	Vàng ngọc rực rỡ, lời tơ truyền xa. Nhà nước ta, phát tích Ô châu, vâng mệnh dựng nước.
皇祖虎視一方半璧之山河 有截神宗龍驤七縣重金之土宇 幾收覇圖	Hoàng tổ một phương hùng cứ, đã có được một nửa non sông; Thần tông bảy huyện mở mang, sắp thu cả đất đai gấm vóc.
讋東浦之狐 潛考王於穆右 文鼓南民于魚躍	Minh miếu vũ uy, dẹp yên giặc chốn Đông Phố, hoàng khảo văn trị trau chuốt lòng dân miền Nam.
累世流豐芑之仁 玉檢可封 尙鬱山川之望 桓圭未改 長懸葵藿之心 肆予冲人	Phong thư vào ngọc kiểm, nguyện vọng non sông còn chờ; chưa đổi bực hoàn khuê, tấm lòng quỳ hoắc giữ mãi.
紹兹令緒 方布七年之政 未宣六月之威	nay ta tuổi trẻ, vâng nối nghiệp xưa, mới cầm quyền chính bảy năm, chưa có uy quân tháng sáu.
深思統未混賊未平 奮發期繩祖武詎意僉合謀神合吉慇懃屢請徽稱	Thầm nghĩ nước chưa thống nhất, giặc chưa dẹp yên, vẫn gắng noi theo tiên tổ. Ngờ đâu người đều đồng tâm, thần báo điềm tốt, ân cần khuyên giục xưng vương.
龍或躍而乾 爻在四 猶用撝謙 馬利貞而坤義迪三普同勸進度	Theo hào bốn quẻ Kiền, rồng hoặc đã nhảy, còn chờ thời nên khiêm tốn; theo hào ba quẻ Khôn, ngựa lợi đi nhanh, nên tất cả đều tôn phò.
德屢辭于再四 同心難遏于三千	Mặc dầu thoái thác ba bốn lần, khó ngăn được thần dân nguyện vọng.
乃於今年四月十二日踐王位 肆赦境內 干以闡八葉重光之慶	Cho nên ngày 12 tháng 4 năm nay lên ngôi vương, đại xá trong nước, để sáng thêm ơn đức của tám đời, để tỏ lòng lợi dân trong bốn cõi.
式霑美化於戲新天命于一德 載光公劉后稷之輿圖 措人世干太和 冀覩有虞成周之宇宙	đổi mới mệnh trời ở người có đức, để chở cơ đồ Hậu Tắc Công Lưu; dìu dắt thiên hạ đến cõi thái bình, mong thấy cảnh đời Thành Chu Ngu Thuấn".
命稱所居府曰殿攺 申爲奏 凡文書仍用黎帝年號 下屬國稱天王	Khiến gọi nơi phủ ở là điện, đổi chữ "thân" làm chữ "tấu", phàm văn thư vẫn dùng niên hiệu vua Lê, nhưng với các thuộc quốc thì xưng là thiên vương.
追尊列聖徽號惠哲顯祐宏休濟世偉績昭動靖王曰貽謀垂裕欽恭惠哲顯祐宏休濟世偉績昭動 靖王妃阮氏曰慈信昭戆德妃 後加弘仁二字	Truy tôn huy hiệu các đời: Huệ Triết Hiển Hựu Hoành Hưu Tế Thế Vĩ Tích Chiêu Huân Tỉnh vương làm Di Mưu Thùy Dụ Khâm Cung Huệ Triết Hiển Hựu Hoành Hưu Tế Thế Vĩ Tích Chiêu Huân Tĩnh vương; Phi là Nguyễn thị làm Từ Tín Chiêu ý Đức phi (sau thêm hai chữ Hoằng Nhân).
